YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
1981,3,28,21.06,15.69,18.37,21.84,12.33,73.25,0.19,90.75,2.09,3.42,0.76,2.66,214.56,2.92,4.9,1.33,3.57,216.19
1981,3,29,20.69,14.8,17.74,21.42,11.6,72.19,0.07,90.87,2.34,3.87,1.12,2.76,148.31,3.2,4.51,1.81,2.69,148.06
1981,3,30,20.8,15.72,18.26,21.79,12.27,74.94,0.09,90.96,3.05,5,1.77,3.23,38.75,4.27,6.29,3.02,3.28,37.06
1981,3,31,19.95,16.4,18.18,20.73,12.88,81.25,0.61,90.99,3.41,5.41,2.08,3.34,40.5,4.8,6.53,3.7,2.84,38.62
1981,4,1,20.15,16.69,18.41,21.14,13.12,81.94,0.17,90.96,2.54,5.05,1.23,3.82,72.25,3.42,6.02,1.38,4.62,68.12
1981,4,2,20.63,16.17,18.4,21.73,12.76,77.5,0.05,90.67,2.94,4.83,1.16,3.66,46.5,3.98,5.83,1.47,4.35,45.12
1981,4,3,21.25,16.84,19.05,22.08,13.24,78.5,0.08,90.91,2.9,5.86,0.5,5.36,50.06,3.91,7.14,0.74,6.39,48.62
1981,4,4,20.8,16.02,18.4,21.44,12.57,76.44,5.18,90.78,4.12,6.62,2.07,4.55,30,6.15,8.2,3.67,4.52,28.75
1981,4,5,20.96,14.56,17.76,21.56,11.41,69.5,0.23,90.77,3.33,6.04,1.82,4.22,39.38,5.04,7.73,3.05,4.7,23.69
1981,4,6,21.61,16.41,19.01,22.15,12.94,74.19,0.12,90.62,3.16,4.88,1.99,2.89,20.56,4.87,5.97,3.71,2.26,19.56
1981,4,7,23.19,17.73,20.46,23.59,14.04,73.75,0.06,90.68,2.78,4.63,1.73,2.89,122.62,4.27,5.91,3.22,2.69,122.69
1981,4,8,23.74,17.65,20.69,24.15,13.98,71.69,2.02,90.57,3.31,5.65,1.6,4.05,78.81,5.4,7.45,2.62,4.83,77.94
1981,4,9,23.59,18.41,21,24.21,14.71,74.81,4.14,90.52,1.97,3.48,0.23,3.25,121.62,3.33,5.41,0.23,5.17,109
1981,4,10,21.74,17.99,19.87,22.29,14.28,80.56,5.16,90.58,2.19,3.41,1.4,2,154.75,3.27,4.37,2.5,1.87,153.06
1981,4,11,22.52,16.58,19.55,23.31,13.18,73.19,1.02,90.65,1.68,3.25,1.02,2.23,137.44,2.45,3.83,1.34,2.49,149.5
1981,4,12,20.26,18.16,19.21,20.65,14.4,88.75,9.75,90.79,2.28,5.25,0.34,4.91,83.5,3.25,6.3,0.59,5.71,84
1981,4,13,18.49,17.84,18.17,18.34,14.16,96,8.02,90.75,2.56,3.98,1.09,2.88,85.62,3.93,5.78,2.1,3.68,83.12
1981,4,14,16.58,15.15,15.87,16.65,11.84,91.44,0.75,91.13,2.72,5.64,0.59,5.05,101.12,3.83,6.78,1,5.78,100.19
1981,4,15,17.19,13.1,15.14,18.02,10.31,79.5,0.05,91.22,3.01,6.13,0.45,5.7,47.62,4.03,7.37,0.71,6.66,47.12
1981,4,16,17.23,13.38,15.31,17.91,10.56,79.69,0.05,91.05,4.83,7.45,2.71,4.74,38.44,6.7,9.35,4.77,4.59,36.94
1981,4,17,17.71,14.15,15.94,18.46,11.11,81.06,0.01,91.19,5.31,7.25,3.45,3.8,48.31,7.09,8.74,5.25,3.5,47.31
1981,4,18,17.79,13.71,15.75,18.52,10.8,78.94,0,91.12,3.73,5.31,2.29,3.03,35.44,5.46,6.49,4.41,2.08,33.94
1981,4,19,18.69,13.69,16.19,19.38,10.8,75.94,0,90.77,2.57,3.94,1.91,2.02,95.88,4.03,5.3,2.77,2.52,78.81
1981,4,20,19.9,14.06,16.98,20.33,11.11,72,0.77,90.7,2.77,4.33,1.8,2.52,139.69,4.43,6.63,2.26,4.38,138
1981,4,21,19.77,14.33,17.05,19.97,11.29,72.94,0.14,90.71,1.71,3.17,0.21,2.95,164.88,2.68,6.74,0.32,6.42,147.75
1981,4,22,20.44,13.18,16.81,20.48,10.62,67.69,0.03,90.43,1.8,3.14,0.46,2.68,126.94,2.68,4.94,0.28,4.66,153.5
1981,4,23,16.57,13.07,14.82,16.99,10.5,80.62,1.84,90.67,2.66,4.88,1.05,3.83,185.62,3.34,5.57,1.6,3.97,184.94
1981,4,24,13.99,11.01,12.51,14.7,9.09,83.25,1.61,90.62,3.97,6.15,2.05,4.09,43.56,5.14,7.3,3.25,4.05,42.12
1981,4,25,16.94,11.05,14,17.57,9.16,73.88,0.14,90.36,2.23,3.92,0.81,3.11,92.94,3.25,4.76,0.63,4.12,94.56
1981,4,26,16.51,12.11,14.31,16.83,9.83,78.81,3.16,90.55,1.92,3.03,0.97,2.07,154.94,2.74,4.2,1.02,3.18,138
1981,4,27,16.52,12.15,14.33,17.33,9.83,78.38,0.14,90.64,2.29,3.49,1.55,1.94,57.56,3.12,4.66,2.09,2.58,55.19
1981,4,28,13.88,9.12,11.5,13.91,8.06,74.62,0.01,91.37,2.23,4.55,0.3,4.26,171.25,2.84,5.27,0.36,4.91,172.06
1981,4,29,14.44,7.01,10.73,14.31,6.9,64.31,0,91.26,2.24,3.41,1.12,2.3,192.56,3.13,4.65,1.52,3.13,205
1981,4,30,15.3,8.75,12.02,15.45,7.75,69,0,91.06,2.3,3.41,0.95,2.45,222.12,3.29,4.68,0.97,3.71,223.62
1981,5,1,16.15,10.4,13.27,16.23,8.73,72.94,0,90.61,2.98,4.91,2.15,2.77,170,4.35,6.03,3.38,2.65,168.44
1981,5,2,18.8,10.68,14.74,18.8,8.97,65.62,0,90,2.28,2.93,1.28,1.65,213.62,3.47,4.85,1.63,3.22,225.5
1981,5,3,20.41,9.9,15.16,19.84,8.61,57.25,0,90.31,2.66,3.81,1.37,2.45,158.69,3.88,4.67,1.64,3.02,157.62
1981,5,4,21,12.4,16.7,20.86,10.13,64.81,0,90.14,2.38,3.12,0.51,2.61,249.38,3.64,5.54,0.62,4.92,244.88
1981,5,5,21.55,12.01,16.78,20.99,9.83,59.5,0,90.47,3.41,6.44,0.96,5.48,208.06,4.77,7.55,1.38,6.18,207.56
1981,5,6,20.57,15.27,17.92,21.22,12.08,74.19,0,90.46,2.59,5.1,0.74,4.36,33.06,3.77,6.28,1.06,5.22,29.69
1981,5,7,22.98,17.62,20.3,23.22,14.1,76.12,0.33,90.09,3.14,5.21,2.34,2.87,59.12,4.86,6.71,3.95,2.77,58.94
1981,5,8,20.75,15.33,18.05,20.98,12.21,74.25,0.82,90.45,4.26,6.22,2.38,3.84,229.56,5.57,7.44,3.41,4.04,229.38
1981,5,9,16.39,10.08,13.24,17.26,8.54,70.06,0.01,90.68,2.38,4.77,0.38,4.39,119.69,3.17,5.67,0.62,5.05,117.25
1981,5,10,19.08,13.79,16.44,19.26,11.11,75.31,0.07,90.33,1.88,3.11,0.36,2.75,166.06,2.74,3.88,0.86,3.01,162.69
1981,5,11,22.04,17.62,19.83,22.49,14.04,78.5,0.09,90.32,1.66,4.65,0.07,4.58,69.62,2.56,5.82,0.45,5.38,56
1981,5,12,20.98,17.15,19.06,21.27,13.61,80.31,0.96,90.33,1.99,4.06,0.38,3.68,155.06,2.84,4.55,0.45,4.1,144
1981,5,13,16.51,10.7,13.6,16.55,8.91,69.62,0.01,90.73,3.36,5.78,0.99,4.79,220,4.64,6.83,1.45,5.38,219.75
1981,5,14,16.4,9.19,12.8,15.98,8.06,64.88,0,90.74,2.99,5.29,1.23,4.05,120.31,4.3,6.56,1.71,4.86,119
1981,5,15,15.96,9.79,12.87,16.31,8.36,70.75,0.23,90.59,3.63,5.98,2.57,3.41,117.12,5.62,7.54,4.27,3.27,101.31
1981,5,16,16.8,11.36,14.08,17.05,9.28,74,0.08,90.91,1.97,2.72,0.74,1.98,140.5,2.84,4.49,0.77,3.73,141.94
1981,5,17,19.36,15.35,17.35,19.73,12.08,80.75,0.01,90.74,2.8,4.55,1.63,2.92,23.81,4.3,5.91,2.86,3.06,23.69
1981,5,18,20.72,14.82,17.77,20.64,11.84,72.88,0,90.48,2.44,3.29,1.87,1.42,171.06,3.41,4.67,2.84,1.83,171.94
1981,5,19,18.14,14.13,16.14,18.12,11.29,78.81,0.42,91.04,3.77,7.2,0.88,6.33,226.94,4.73,8.85,1.05,7.8,227.5
